section,tenantId,vehicle_count,vehicleIds,column_name,min,max,mean,median,variance,null_count,missing_count,zero_count
tenant_vehicle_summary,68d729dc7c1a4da29812e5d1,2.0,"68dd5aff5c02e69671aae48b, 68dd5a7d5c02e69671aae450",,,,,,,,,
tenant_vehicle_summary,68dac9257c1a4da298133a56,15.0,"68ed34090bbd503266ed767d, 68f046b0977d71adeb3e4281, 68f2727d467c81e5145e8f87, 68fa4607e9b9c0b413e6fa14, 69001b864436433ce03cd236, 68f12cc23859f1be91e63532, 68e6d46fa0f625f980dbf79e, 68f8f4fd91c9f9ee60e64eb0, 68e6ec30616d018686de8e0e, 68f03e78977d71adeb3e4026, 690003fb68b8617e92617246, 69003d4e4436433ce03d0ded, 6904733d7683b0e0c2b5ee35, 68e8298a0f6fd154cbe0023a, 68fa4df4e9b9c0b413e70a21",,,,,,,,,
tenant_vehicle_summary,68db39b57c1a4da2981344f2,8.0,"68e98fe9f0e58381ed924171, 68fb9174041bb0c6b6418c6e, 6901093da1d53ab328b933b6, 68fa263f991551a55ace0dd0, 68ec7a33c5c17cac4324ff73, 68f9615e39f61d248dc69a56, 68fbc27974a52c9d2069869f, 68f2d9f3ef2248c0d4c90c28",,,,,,,,,
tenant_vehicle_summary,68db3a937c1a4da29813451c,2.0,"68faf1a1041bb0c6b640a1a6, 68f926b839f61d248dc5f90e",,,,,,,,,
tenant_vehicle_summary,68e84a50c3b472a17187662b,48.0,"68f2bc4e06e5f22a1c963d06, 690112aca1d53ab328b94a57, 68f5169a559f9c05174b3f96, 692478e2c589050f89f7b9a1, 6924ea3dc589050f89f89a5a, 6932072a7d5570b1c516a0da, 693b09c8059cb683c6f630f2, 693f22cc44007d6482f87a17, 693efbb444007d6482f82b0f, 6901134fa1d53ab328b94cb7, 693892710a0d6930830ff41e, 691d3ebe0149615aa0b06123, 6900f827a1d53ab328b90e2a, 6941aa700135f17439a36cf0, 69372f00257f5e77234bf2bb, 69176cfdfb2778a8b44a9760, 693367aba2880433270e05f8, 6938a6460a0d69308310507d, 693c91a1574d2da684657a06, 69419cb00135f17439a33dfa, 694c40f25997d2406f245239, 694da302e6d349228b02e136, 694f18b4e6d349228b071282, 693b2938059cb683c6f69aac, 68fc245be2fc73079c4fe19e, 6945a1faa2c836c23925c046, 695418f4e6d349228b12af32, 69543412e6d349228b13105c, 6955f305e6d349228b171bf6, 692f225cf2e39d7495d04f8c, 69581c14db426e5560d617bd, 695a968cdb426e5560dd8674, 694f1b1ee6d349228b071b17, 69408af344007d6482fb0bc8, 695d70954e276c9011bc1b27, 695d5d924e276c9011bba273, 696005984d8df6c45f6429da, 6962db2808a88a451a1c7859, 696542d808a88a451a2691ac, 6966a3ed08a88a451a2f223e, 695d937823b46a4c692226b4, 696ead1c43fea929ac3d94a4, 696fe1b343fea929ac422273, 697013e243fea929ac42e140, 6972833f43fea929ac51110d, 6976994a43fea929ac620ec9, 697903e18628dcd7201aeb52, 697966f58628dcd7201ccf2e",,,,,,,,,
tenant_vehicle_summary,68ea0bc50f3c4850a85b9378,1.0,68eb1e6bbe34328bb272625d,,,,,,,,,
tenant_vehicle_summary,68fac210041bb0c6b6407303,1.0,68ffb8977acdc63b14238834,,,,,,,,,
tenant_vehicle_summary,6903e918b0c317e4d46fe9a8,9.0,"691b4cdddf10f289f20a0c02, 691b6871df10f289f20a3324, 691b680fdf10f289f20a325e, 692b6c9290dfd949308f7ebd, 692b6c6c90dfd949308f7e6d, 692bd8e8263106981310a754, 692fada81c08b905d8f88aee, 692fae111c08b905d8f88c97, 692fae311c08b905d8f88cad",,,,,,,,,
tenant_vehicle_summary,6915b588270988466dacf054,3.0,"69167ac56b68a4f5d8c44ad6, 69167b956b68a4f5d8c44b76, 691679516b68a4f5d8c4498d",,,,,,,,,
tenant_vehicle_summary,69279e611093621e73c1f9fd,1.0,694ef1f3e6d349228b0699d1,,,,,,,,,
tenant_vehicle_summary,692e1924da73be8e07e4cbc5,16.0,"68d72f967c1a4da29812e783, 68cf2cad25b5590dd4e8a5e6, 68cf2e4e25b5590dd4e8a645, 68e972a81b40d1bf35de2cb8, 68ed83cea28ec7c70ececc9b, 68c89780bc89e445bb711700, 68e088d3ff82187deafb4cab, 68e5a8493f8362eededf484e, 68d5e14e234c6e1b7c68e785, 68d3117ed6a2d9507030ced9, 68cf2df725b5590dd4e8a62b, 68cf359d25b5590dd4e8a795, 68fc1b50e2fc73079c4fd154, 68cf2d3725b5590dd4e8a609, 68e957553fdadf02133db220, 6970348343fea929ac435c63",,,,,,,,,
tenant_vehicle_summary,6941e1e10135f17439a436ef,1.0,6941e52c0135f17439a440fe,,,,,,,,,
tenant_vehicle_summary,6941f7960135f17439a49539,2.0,"691a66a3df10f289f2097111, 696c254cba1dbcd3899b98bf",,,,,,,,,
tenant_vehicle_summary,694e93cae6d349228b059069,1.0,694ef585e6d349228b06a76a,,,,,,,,,
tenant_vehicle_summary,696a9c44ba1dbcd389846cbc,2.0,"696aa596ba1dbcd389850bdc, 6972906f43fea929ac5153a1",,,,,,,,,
tenant_vehicle_summary,697927d38628dcd7201bc295,2.0,"697950cf8628dcd7201c6722, 697a7db98628dcd7202112b8",,,,,,,,,
numeric_column_statistics,,,,isDeleted,False,False,0.0,0.0,0.0,0.0,0.0,375.0
numeric_column_statistics,,,,gatewayConnection.value,False,True,0.712,1.0,0.20560427807486628,0.0,0.0,108.0
numeric_column_statistics,,,,isActive,True,True,1.0,1.0,0.0,0.0,0.0,0.0
numeric_column_statistics,,,,latitude.value,27.97928489,47.47585756,36.256137895427806,36.800214055,13.088552298409653,1.0,1.0,0.0
numeric_column_statistics,,,,longitude.value,-123.141952,75.6465619,-89.08588185425135,-119.82482565000001,4505.267889415674,1.0,1.0,0.0
numeric_column_statistics,,,,engineHours.value,1.1,960499.7,53184.697360703816,12604.8,24270138845.08108,34.0,34.0,0.0
numeric_column_statistics,,,,odometer.value,12.0,1755313.0,506504.8567251462,509328.5,58666066863.0967,33.0,33.0,0.0
numeric_column_statistics,,,,direction.value,-1.0,359.6451795,179.82799857109845,180.0,9100.362242003708,50.0,50.0,11.0
numeric_column_statistics,,,,speed.value,-2.24,123.03,17.786657223796034,4.34,714.5276081122843,22.0,22.0,130.0
numeric_column_statistics,,,,engineCoolantTemperature.value,35.6,770.0,345.33362445414843,365.0,5547.087729349575,146.0,146.0,0.0
numeric_column_statistics,,,,engineOilPressure.value,3.1,100.0,26.263513513513512,14.1,794.5771694998165,153.0,153.0,0.0
numeric_column_statistics,,,,fuelLevel.value,0.0,99.2,62.630476190476195,68.0,554.5318897243108,165.0,165.0,5.0
numeric_column_statistics,,,,fuelTemperature.value,17.53,129.128,76.16279295154185,79.97,545.4292223772952,148.0,148.0,0.0
numeric_column_statistics,,,,engineCoolantLevel.value,39.2,100.0,39.496585365853655,39.2,18.032390243902434,170.0,170.0,0.0
numeric_column_statistics,,,,engineIntakeTemperature.value,99.32,287.24,188.04799999999997,180.32,2952.5262171428576,360.0,360.0,0.0
numeric_column_statistics,,,,engineOilTemperature.value,88.808,454.586,369.705506122449,397.4,5524.173024041941,81.0,81.0,0.0
